ChassisId,Timestamp,PresNo,MeasureName,ValueNumber,DatasetNumber,Unit,MeasureValue,MeasureValueDelta,LogHours,MachineHours,Color,Source,Type,load_datetime
A60H3210,2024-10-27T10:34:04Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.09296295306402,8.622763494211396,15260.948888888888,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,1172,Machine utilization (%),3,1,Gear engaged,63.54160246575198,51.82370175364104,15260.613888888887,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,5000,Overloaded cycles (%),2,1,Total Cycles CT,17525.0,0.0,15211.855555555556,20246.75,,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,591,"Service brake cooling oil, first bogie axle temperature",2,1,>0-20,0.0,0.0,15260.955,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,591,"Service brake cooling oil, first bogie axle temperature",3,1,>20-40,369.40972222222223,20.976111111111116,15260.955,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,590,"Service brake cooling oil, front axle temperature",2,1,>0-20,0.0,0.0,15218.945833333331,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,590,"Service brake cooling oil, front axle temperature",3,1,>20-40,298.4775,18.245833333333334,15218.945833333331,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,592,"Service brake cooling oil, second bogie axle temperature",2,1,>0-20,0.0,0.0,15260.954444444444,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,592,"Service brake cooling oil, second bogie axle temperature",3,1,>20-40,365.8022222222222,21.62638888888889,15260.954444444444,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,616,"Transmission oil, temperature distribution (%)",2,1,0-<30,0.0593939026495453,0.164265577482297,15265.42861111111,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-27T10:34:04Z,616,"Transmission oil, temperature distribution (%)",3,1,30-<60,7.499569339749279,12.797176407911383,15265.42861111111,20246.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-15T16:00:56Z,646,Brake Usage (%),2,1,Retarder activated,23.766788263527957,15.048346469488909,15473.591944444444,20459.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-15T16:00:56Z,646,Brake Usage (%),3,1,Service brake activated,50.20456265321847,66.1087186154221,15473.591944444444,20459.3,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
